RecordID,Address,City,State,Zip
1,515 E Peltason Dr,Irvine,CA,92617
2,4 Alcott Ct,Irvine,CA,92617
3,16 Joyce Ct,Irvine,CA,92617
4,11 Murasaki St,Irvine,CA,92617
5,10 Whistler Ct,Irvine,CA,92617
6,25 Harvey Ct,Irvine,CA,92617
7,18 Murasaki St,Irvine,CA,92617
8,20 Newton Ct,Irvine,CA,92617
9,26 McClintock Ct,Irvine,CA,92617
10,4 Gibbs Ct,Irvine,CA,92617
11,26 Whistler Ct,Irvine,CA,92617
12,20 Whitman Ct,Irvine,CA,92617
13,16 Whitman Ct,Irvine,CA,92617
14,22 Young,Irvine,CA,92617
15,21 Harvey Ct,Irvine,CA,92617
16,40 Gabrielino Dr,Irvine,CA,92617
17,14 Gibbs Ct,Irvine,CA,92617
18,67 Whitman Ct,Irvine,CA,92617
19,26 Young,Irvine,CA,92617
20,20 Alcott Ct,Irvine,CA,92617
21,7 Gibbs Ct,Irvine,CA,92617
22,10 Fuertes,Irvine,CA,92617
23,17 Harvey Ct,Irvine,CA,92617
24,3 Alcott Ct,Irvine,CA,92617
25,24 Alcott Ct,Irvine,CA,92617
26,30 Perkins Ct,Irvine,CA,92617
27,1 Virgil Ct,Irvine,CA,92617
28,29 Murasaki St,Irvine,CA,92617
29,21 Murasaki St,Irvine,CA,92617
30,7 Virgil Ct,Irvine,CA,92617
31,55 Schubert Ct,Irvine,CA,92617
32,6 Fuertes,Irvine,CA,92617
33,73 Whitman Ct,Irvine,CA,92617
34,5 Owen Ct,Irvine,CA,92617
35,60 Whitman Ct,Irvine,CA,92617
36,14 Joyce Ct,Irvine,CA,92617
37,4 Virgil Ct,Irvine,CA,92617
38,14 Dickens Ct,Irvine,CA,92617
39,6 Gibbs Ct,Irvine,CA,92617
40,19 Dickens Ct,Irvine,CA,92617
41,8 Blake Ct,Irvine,CA,92617
42,12 Blake Ct,Irvine,CA,92617
43,10 Thompson Ct,Irvine,CA,92617
44,38 Gabrielino Dr,Irvine,CA,92617
45,12 Handel Ct,Irvine,CA,92617
46,3 Twain,Irvine,CA,92617
47,14 Russell Ct,Irvine,CA,92617
48,5 Murasaki St,Irvine,CA,92617
49,1 Zola Ct,Irvine,CA,92617
50,2 Owen Ct,Irvine,CA,92617
51,7 Dickens Ct,Irvine,CA,92617
